274,0.321,3.158,1.206,-0.081,1.354,0.296,0.506
275,0.355,3.158,1.209,-0.081,1.358,0.297,0.508
276,0.349,3.157,1.212,-0.081,1.361,0.298,0.509
277,0.35,3.155,1.215,-0.081,1.364,0.297,0.51
278,0.352,3.154,1.216,-0.082,1.366,0.296,0.51
279,0.351,3.152,1.217,-0.084,1.367,0.294,0.509
280,0.347,3.15,1.217,-0.087,1.367,0.291,0.507
281,0.343,3.148,1.217,-0.09,1.367,0.288,0.506
282,0.257,3.147,1.217,-0.092,1.368,0.286,0.504
283,0.259,3.145,1.218,-0.093,1.369,0.284,0.504
284,0.259,3.143,1.22,-0.094,1.371,0.284,0.505
285,0.257,3.142,1.222,-0.095,1.374,0.284,0.506
286,0.254,3.141,1.224,-0.095,1.376,0.284,0.507
287,0.254,3.14,1.226,-0.096,1.378,0.284,0.508
288,0.737,3.139,1.228,-0.098,1.381,0.284,0.509
289,0.736,3.138,1.229,-0.1,1.382,0.283,0.509
290,0.734,3.137,1.229,-0.103,1.384,0.281,0.508
291,0.73,3.137,1.229,-0.106,1.385,0.279,0.508
292,0.727,3.136,1.23,-0.109,1.387,0.277,0.507
293,0.725,3.136,1.231,-0.113,1.389,0.275,0.507
294,0.487,3.135,1.236,-0.111,1.396,0.278,0.512
295,0.378,3.133,1.246,-0.106,1.407,0.285,0.521
296,0.272,3.132,1.255,-0.1,1.418,0.293,0.53
297,0.269,3.13,1.263,-0.096,1.427,0.298,0.537
298,0.342,3.129,1.267,-0.096,1.431,0.3,0.539
299,0.388,3.127,1.266,-0.1,1.431,0.297,0.538
300,0.447,3.126,1.261,-0.108,1.426,0.29,0.532
301,0.308,3.126,1.253,-0.12,1.418,0.28,0.523
302,0.222,3.125,1.245,-0.13,1.411,0.27,0.514
303,0.253,3.125,1.24,-0.138,1.406,0.263,0.509
304,0.337,3.125,1.239,-0.141,1.406,0.26,0.507
305,0.369,3.124,1.243,-0.14,1.41,0.262,0.51
306,0.314,3.123,1.247,-0.139,1.414,0.264,0.513
307,0.314,3.122,1.25,-0.139,1.418,0.264,0.514
308,0.321,3.121,1.252,-0.139,1.42,0.264,0.515
309,0.324,3.119,1.253,-0.141,1.42,0.262,0.514
310,0.318,3.118,1.252,-0.144,1.42,0.259,0.512
311,0.31,3.116,1.252,-0.147,1.42,0.255,0.509
312,0.238,3.115,1.251,-0.15,1.419,0.252,0.508
313,0.242,3.113,1.252,-0.152,1.42,0.25,0.507
314,0.245,3.112,1.253,-0.153,1.422,0.249,0.507
315,0.243,3.111,1.256,-0.153,1.424,0.25,0.508
316,0.238,3.111,1.258,-0.153,1.427,0.251,0.51
317,0.236,3.11,1.261,-0.154,1.43,0.251,0.511
318,0.501,3.11,1.262,-0.155,1.431,0.251,0.511
319,0.5,3.111,1.261,-0.158,1.432,0.249,0.51
320,0.492,3.112,1.26,-0.162,1.432,0.246,0.508
321,0.484,3.114,1.259,-0.166,1.432,0.243,0.506
322,0.482,3.116,1.258,-0.17,1.432,0.24,0.504
323,0.483,3.119,1.258,-0.172,1.434,0.239,0.503
324,0.603,3.121,1.265,-0.168,1.442,0.244,0.509
325,0.428,3.122,1.276,-0.16,1.455,0.254,0.519
326,0.26,3.123,1.288,-0.151,1.468,0.264,0.53
327,0.257,3.123,1.297,-0.145,1.479,0.271,0.539
328,0.375,3.124,1.301,-0.144,1.484,0.274,0.542
329,0.451,3.124,1.3,-0.148,1.483,0.271,0.54
330,0.51,3.125,1.293,-0.157,1.477,0.262,0.532
331,0.321,3.126,1.283,-0.17,1.467,0.251,0.521
332,0.207,3.127,1.273,-0.182,1.458,0.24,0.511
333,0.254,3.127,1.268,-0.19,1.453,0.232,0.505
334,0.368,3.128,1.267,-0.193,1.452,0.23,0.503
335,0.409,3.128,1.271,-0.191,1.457,0.232,0.506
336,0.301,3.128,1.276,-0.188,1.462,0.235,0.51
337,0.294,3.127,1.28,-0.186,1.467,0.237,0.513
